order_item_id;order_id;customer_id;product_id;order_date;quantity;unit_price;sales_channel;payment_method;revenue
1;3654;1701;9;2026-04-30 00:00:00;2;8;balcão;dinheiro;16
2;2081;1312;8;2026-05-09 00:00:00;2;8;delivery;cartao de credito;16
3;6714;1018;1;2026-04-06 00:00:00;3;28,9;delivery;cartao de credito;86,7
4;5968;403;1;2026-06-28 00:00:00;4;28,9;delivery;pix;115,6
5;3398;762;4;2026-05-28 00:00:00;3;14,9;app;desconhecido;44,7
6;1850;141;7;2026-03-20 00:00:00;3;18,9;app;pix;56,7
7;7669;848;10;2026-06-19 00:00:00;4;12,9;balcão;dinheiro;51,6
8;5135;1211;7;2026-05-10 00:00:00;2;18,9;app;cartao de credito;37,8
9;4044;1498;6;2026-04-25 00:00:00;3;15,9;delivery;cartao de credito;47,7
10;6662;326;10;2026-01-15 00:00:00;2;12,9;balcão;cartão de crédito;25,8
11;6393;612;2;2026-04-24 00:00:00;2;32,9;app;cartao de credito;65,8
12;543;354;9;2026-06-20 00:00:00;1;8;delivery;desconhecido;8
13;4323;1680;2;2026-03-19 00:00:00;4;32,9;balcão;pix;131,6
14;1839;255;3;2026-01-12 00:00:00;3;29,9;delivery;cartao de credito;89,7
15;3302;1282;6;2026-03-13 00:00:00;1;15,9;balcão;cartao de credito;15,9
16;1487;327;4;2026-04-27 00:00:00;3;14,9;balcão;pix;44,7
17;534;391;10;2026-03-19 00:00:00;4;12,9;balcão;desconhecido;51,6
18;821;1137;5;2026-03-27 00:00:00;2;16,9;app;pix;33,8
19;3643;1415;10;2026-04-21 00:00:00;3;12,9;balcão;cartão de crédito;38,7
20;1806;612;8;2026-02-23 00:00:00;2;8;balcão;dinheiro;16
21;7541;776;8;2026-01-22 00:00:00;3;8;delivery;dinheiro;24
22;5305;646;1;2026-05-08 00:00:00;4;28,9;delivery;cartao de credito;115,6
23;300;962;9;2026-02-25 00:00:00;2;8;balcão;cartao de credito;16
24;5639;1566;1;2026-02-05 00:00:00;3;28,9;app;desconhecido;86,7
25;4029;1225;10;2026-02-17 00:00:00;2;12,9;delivery;cartão de crédito;25,8
26;2432;714;7;2026-02-19 00:00:00;3;18,9;app;pix;56,7
27;957;765;3;2026-05-31 00:00:00;4;29,9;delivery;pix;119,6
28;3388;554;5;2026-06-14 00:00:00;3;16,9;app;cartão de crédito;50,7
29;7779;1990;9;2026-01-04 00:00:00;3;8;delivery;cartão de crédito;24
30;6534;882;4;2026-03-09 00:00:00;3;14,9;balcão;pix;44,7
31;7371;1954;5;2026-03-11 00:00:00;3;16,9;delivery;pix;50,7
32;2804;245;6;2026-05-11 00:00:00;1;15,9;delivery;cartao de credito;15,9
33;3656;1022;5;2026-03-20 00:00:00;1;16,9;balcão;dinheiro;16,9
34;7521;1276;9;2026-03-09 00:00:00;1;8;app;pix;8
35;1099;501;8;2026-03-08 00:00:00;4;8;app;desconhecido;32
